candidate_id,rank,score,reasoning
CAND_0002025,1,1.0,"Senior AI Engineer with 5.9 years of experience. Profile closely matches the primary technical requirements. Key skills: embeddings, evaluation, faiss. Excellent recruiter response rate. Strong recent GitHub activity. Currently open to work."
CAND_0018722,2,0.957,"Recommendation Systems Engineer with 6.6 years of experience. Excellent match for the target role. Key skills: elasticsearch, embeddings, evaluation. Strong recruiter engagement. Strong recent GitHub activity. Currently open to work. Long notice period (90 days) may delay availability."
CAND_0081686,3,0.93,"Search Engineer with 6.0 years of experience. Strong alignment with the core AI requirements. Key skills: elasticsearch, embeddings, evaluation. Excellent recruiter response rate."
CAND_0077337,4,0.927,"Staff Machine Learning Engineer with 7.0 years of experience. Strong alignment with the core AI requirements. Key skills: embeddings, evaluation, lora. Excellent recruiter response rate. Currently open to work."
CAND_0081846,5,0.862,"Lead AI Engineer with 6.7 years of experience. Strong alignment with the core AI requirements. Key skills: elasticsearch, embeddings, evaluation. Strong recruiter engagement. Currently open to work."
CAND_0069905,6,0.843,"Applied ML Engineer with 6.6 years of experience. Profile closely matches the primary technical requirements. Key skills: elasticsearch, embeddings, evaluation. Strong recruiter engagement. Currently open to work. Long notice period (90 days) may delay availability."
CAND_0095528,7,0.805,"Senior Data Scientist with 5.3 years of experience. Excellent match for the target role. Key skills: elasticsearch, embeddings, evaluation. Moderate recruiter engagement. Currently open to work."
CAND_0030031,8,0.743,"AI Engineer with 5.7 years of experience. Excellent match for the target role. Key skills: embeddings, evaluation, lora. Excellent recruiter response rate."
CAND_0079387,9,0.733,"AI Engineer with 6.9 years of experience. Profile closely matches the primary technical requirements. Key skills: embeddings, evaluation, lora. Excellent recruiter response rate. Currently open to work."
CAND_0024620,10,0.698,"AI Engineer with 5.9 years of experience. Profile closely matches the primary technical requirements. Key skills: elasticsearch, embeddings, evaluation. Moderate recruiter engagement. Currently open to work."
CAND_0055905,11,0.665,"Senior Machine Learning Engineer with 8.1 years of experience. Relevant experience for the target role. Key skills: elasticsearch, embeddings, evaluation. Excellent recruiter response rate. Currently open to work."
CAND_0030953,12,0.647,"Search Engineer with 7.8 years of experience. Good alignment with the technical requirements. Key skills: embeddings, evaluation, python. Strong recruiter engagement."
CAND_0096172,13,0.633,"NLP Engineer with 5.2 years of experience. Solid AI background with several matching skills. Key skills: elasticsearch, embeddings, evaluation. Moderate recruiter engagement."
CAND_0013393,14,0.568,"ML Engineer with 5.3 years of experience. Solid AI background with several matching skills. Key skills: embeddings, evaluation, milvus. Lower recruiter engagement than higher-ranked candidates. Currently open to work."
CAND_0076163,15,0.568,"NLP Engineer with 6.9 years of experience. Good alignment with the technical requirements. Key skills: elasticsearch, evaluation, opensearch. Excellent recruiter response rate. Strong recent GitHub activity. Currently open to work."
